Cylinder x,Cylinder y,cylinder Trial 1 (V),Cylinder Trial 2 (V),Cylinder Trial 3 (V),,,
-5,2,4.02,3.94,3.93,,,
-3,2,3.94,3.84,3.84,,,
-1,2,3.73,3.65,3.65,,,
1,2,3.39,3.29,3.29,,,
3,2,2.84,2.78,2.78,,,
5,2,2.39,2.27,2.32,,,
7,2,1.97,1.93,1.93,,,
9,2,1.79,1.78,1.79,,,
11,2,1.73,1.71,1.72,,,
-5,4,4.11,4.03,4.05,,,
-3,4,4.13,4.06,4.1,,,
-1,4,4.08,4.01,4.04,,,
1,4,3.61,3.6,3.61,,,
3,4,2.91,2.77,2.8,,,
5,4,2.15,2,1.98,,,
7,4,1.76,1.61,1.64,,,
9,4,1.68,1.58,1.6,,,
11,4,1.7,1.61,1.63,,,
-5,6,4.17,4.14,4.15,,,
-3,6,4.34,4.3,4.33,,,
-1,6,6,6,6,,,
1,6,6,6,6,,,
3,6,2.88,2.8,2.77,,,
5,6,0,0,0,,,
7,6,0,0,0,,,
9,6,1.44,1.37,1.37,,,
11,6,1.6,1.52,1.53,,,
-5,8,4.17,4.11,4.13,,,
-3,8,4.35,4.3,4.32,,,
-1,8,6,6,6,,,
1,8,6,6,6,,,
3,8,2.91,2.74,2.68,,,
5,8,0,0,0,,,
7,8,0,0,0,,,
9,8,1.407,1.4,1.39,,,
11,8,1.58,1.54,1.55,,,
-5,10,4.04,4.01,4.02,,,
-3,10,4.06,4.03,4.04,,,
-1,10,4.02,4,4.01,,,
1,10,3.59,3.7,3.58,,,
3,10,2.74,2.76,2.7,,,
5,10,1.99,1.95,1.95,,,
7,10,1.75,1.64,1.66,,,
9,10,1.67,1.61,1.62,,,
11,10,1.68,1.63,1.65,,,
-5,12,3.32,3.88,3.9,,,
-3,12,3.83,3.8,3.78,,,
-1,12,3.66,3.61,3.62,,,
1,12,3.3,3.23,3.25,,,
3,12,2.77,2.71,2.73,,,
5,12,2.29,2.25,2.28,,,
7,12,1.97,1.95,1.96,,,
9,12,1.82,1.8,1.82,,,
11,12,1.77,1.76,1.77,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
